"lug_type","b","ncp","cv_type","rr","rho","d","big_T","num_sims","use"
"Zero",0.1,0,"small",0.213,0,2,500,1000,"error_rates"
"Zero",0.11,0,"small",0.223,0,2,500,1000,"error_rates"
"Zero",0.12,0,"small",0.24,0,2,500,1000,"error_rates"
"Zero",0.13,0,"small",0.264,0,2,500,1000,"error_rates"
"Zero",0.14,0,"small",0.285,0,2,500,1000,"error_rates"
"Zero",0.15,0,"small",0.292,0,2,500,1000,"error_rates"
"Zero",0.16,0,"small",0.306,0,2,500,1000,"error_rates"
"Zero",0.17,0,"small",0.332,0,2,500,1000,"error_rates"
"Zero",0.18,0,"small",0.347,0,2,500,1000,"error_rates"
"Zero",0.19,0,"small",0.362,0,2,500,1000,"error_rates"
"Zero",0.2,0,"small",0.374,0,2,500,1000,"error_rates"
"Zero",0.25,0,"small",0.459,0,2,500,1000,"error_rates"
"Zero",0.3,0,"small",0.515,0,2,500,1000,"error_rates"
"Zero",0.35,0,"small",0.577,0,2,500,1000,"error_rates"
"Zero",0.4,0,"small",0.623,0,2,500,1000,"error_rates"
"Zero",0.45,0,"small",0.662,0,2,500,1000,"error_rates"
"Zero",0.5,0,"small",0.676,0,2,500,1000,"error_rates"
"Mother",0,0,"small",0.051,0,2,500,1000,"error_rates"
"Mother",0.01,0,"small",0.059,0,2,500,1000,"error_rates"
"Mother",0.02,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"small",0.066,0,2,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.03,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.04,0,"small",0.075,0,2,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"small",0.074,0,2,500,1000,"error_rates"
"Mother",0.05,0,"small",0.082,0,2,500,1000,"error_rates"
"Mother",0.06,0,"small",0.085,0,2,500,1000,"error_rates"
"Mother",0.07,0,"small",0.095,0,2,500,1000,"error_rates"
"Mother",0.08,0,"small",0.103,0,2,500,1000,"error_rates"
"Mother",0.09,0,"small",0.109,0,2,500,1000,"error_rates"
"Mother",0.1,0,"small",0.117,0,2,500,1000,"error_rates"
"Mother",0.11,0,"small",0.124,0,2,500,1000,"error_rates"
"Mother",0.12,0,"small",0.132,0,2,500,1000,"error_rates"
"Mother",0.13,0,"small",0.143,0,2,500,1000,"error_rates"
"Mother",0.14,0,"small",0.15,0,2,500,1000,"error_rates"
"Mother",0.15,0,"small",0.157,0,2,500,1000,"error_rates"
"Mother",0.16,0,"small",0.163,0,2,500,1000,"error_rates"
"Mother",0.17,0,"small",0.164,0,2,500,1000,"error_rates"
"Mother",0.18,0,"small",0.169,0,2,500,1000,"error_rates"
"Mother",0.19,0,"small",0.177,0,2,500,1000,"error_rates"
"Mother",0.2,0,"small",0.185,0,2,500,1000,"error_rates"
"Mother",0.25,0,"small",0.216,0,2,500,1000,"error_rates"
"Mother",0.3,0,"small",0.248,0,2,500,1000,"error_rates"
"Mother",0.35,0,"small",0.271,0,2,500,1000,"error_rates"
"Mother",0.4,0,"small",0.307,0,2,500,1000,"error_rates"
"Mother",0.45,0,"small",0.333,0,2,500,1000,"error_rates"
"Mother",0.5,0,"small",0.363,0,2,500,1000,"error_rates"
"Zero",0,0,"fixed",0.05,0,2,500,1000,"error_rates"
"Zero",0.01,0,"fixed",0.056,0,2,500,1000,"error_rates"
"Zero",0.02,0,"fixed",0.056,0,2,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"fixed",0.058,0,2,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"fixed",0.058,0,2,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"fixed",0.059,0,2,500,1000,"error_rates"
"Zero",0.03,0,"fixed",0.059,0,2,500,1000,"error_rates"
"Zero",0.04,0,"fixed",0.059,0,2,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"fixed",0.062,0,2,500,1000,"error_rates"
"Zero",0.05,0,"fixed",0.052,0,2,500,1000,"error_rates"
"Zero",0.06,0,"fixed",0.053,0,2,500,1000,"error_rates"
"Zero",0.07,0,"fixed",0.055,0,2,500,1000,"error_rates"
"Zero",0.08,0,"fixed",0.052,0,2,500,1000,"error_rates"
"Zero",0.09,0,"fixed",0.046,0,2,500,1000,"error_rates"
"Zero",0.1,0,"fixed",0.043,0,2,500,1000,"error_rates"
"Zero",0.11,0,"fixed",0.042,0,2,500,1000,"error_rates"
"Zero",0.12,0,"fixed",0.049,0,2,500,1000,"error_rates"
"Zero",0.13,0,"fixed",0.041,0,2,500,1000,"error_rates"
"Zero",0.14,0,"fixed",0.042,0,2,500,1000,"error_rates"
"Zero",0.15,0,"fixed",0.042,0,2,500,1000,"error_rates"
"Zero",0.16,0,"fixed",0.036,0,2,500,1000,"error_rates"
"Zero",0.17,0,"fixed",0.044,0,2,500,1000,"error_rates"
"Zero",0.18,0,"fixed",0.053,0,2,500,1000,"error_rates"
"Zero",0.19,0,"fixed",0.053,0,2,500,1000,"error_rates"
"Zero",0.2,0,"fixed",0.055,0,2,500,1000,"error_rates"
"Zero",0.25,0,"fixed",0.05,0,2,500,1000,"error_rates"
"Zero",0.3,0,"fixed",0.055,0,2,500,1000,"error_rates"
"Zero",0.35,0,"fixed",0.056,0,2,500,1000,"error_rates"
"Zero",0.4,0,"fixed",0.07,0,2,500,1000,"error_rates"
"Zero",0.45,0,"fixed",0.067,0,2,500,1000,"error_rates"
"Zero",0.5,0,"fixed",0.062,0,2,500,1000,"error_rates"
"Mother",0,0,"fixed",0.05,0,2,500,1000,"error_rates"
"Mother",0.01,0,"fixed",0.057,0,2,500,1000,"error_rates"
"Mother",0.02,0,"fixed",0.057,0,2,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"fixed",0.058,0,2,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"fixed",0.059,0,2,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"fixed",0.059,0,2,500,1000,"error_rates"
"Mother",0.03,0,"fixed",0.059,0,2,500,1000,"error_rates"
"Mother",0.04,0,"fixed",0.056,0,2,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"fixed",0.056,0,2,500,1000,"error_rates"
"Mother",0.05,0,"fixed",0.054,0,2,500,1000,"error_rates"
"Mother",0.06,0,"fixed",0.056,0,2,500,1000,"error_rates"
"Mother",0.07,0,"fixed",0.054,0,2,500,1000,"error_rates"
"Mother",0.08,0,"fixed",0.055,0,2,500,1000,"error_rates"
"Mother",0.09,0,"fixed",0.053,0,2,500,1000,"error_rates"
"Mother",0.1,0,"fixed",0.054,0,2,500,1000,"error_rates"
"Mother",0.11,0,"fixed",0.055,0,2,500,1000,"error_rates"
"Mother",0.12,0,"fixed",0.053,0,2,500,1000,"error_rates"
"Mother",0.13,0,"fixed",0.047,0,2,500,1000,"error_rates"
"Mother",0.14,0,"fixed",0.044,0,2,500,1000,"error_rates"
"Mother",0.15,0,"fixed",0.045,0,2,500,1000,"error_rates"
"Mother",0.16,0,"fixed",0.044,0,2,500,1000,"error_rates"
"Mother",0.17,0,"fixed",0.043,0,2,500,1000,"error_rates"
"Mother",0.18,0,"fixed",0.043,0,2,500,1000,"error_rates"
"Mother",0.19,0,"fixed",0.043,0,2,500,1000,"error_rates"
"Mother",0.2,0,"fixed",0.045,0,2,500,1000,"error_rates"
"Mother",0.25,0,"fixed",0.048,0,2,500,1000,"error_rates"
"Mother",0.3,0,"fixed",0.045,0,2,500,1000,"error_rates"
"Mother",0.35,0,"fixed",0.044,0,2,500,1000,"error_rates"
"Mother",0.4,0,"fixed",0.047,0,2,500,1000,"error_rates"
"Mother",0.45,0,"fixed",0.047,0,2,500,1000,"error_rates"
"Mother",0.5,0,"fixed",0.047,0,2,500,1000,"error_rates"
"Zero",0,0,"small",0.051,0,2,500,1000,"error_rates"
"Zero",0.01,0,"small",0.065,0,2,500,1000,"error_rates"
"Zero",0.02,0,"small",0.076,0,2,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"small",0.088,0,2,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"small",0.088,0,2,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"small",0.088,0,2,500,1000,"error_rates"
"Zero",0.03,0,"small",0.088,0,2,500,1000,"error_rates"
"Zero",0.04,0,"small",0.1,0,2,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"small",0.102,0,2,500,1000,"error_rates"
"Zero",0.05,0,"small",0.117,0,2,500,1000,"error_rates"
"Zero",0.06,0,"small",0.136,0,2,500,1000,"error_rates"
"Zero",0.07,0,"small",0.161,0,2,500,1000,"error_rates"
"Zero",0.08,0,"small",0.176,0,2,500,1000,"error_rates"
"Zero",0.09,0,"small",0.191,0,2,500,1000,"error_rates"
"Zero",0.1,0,"small",0.213,0,2,500,1000,"error_rates"
"Zero",0.11,0,"small",0.223,0,2,500,1000,"error_rates"
"Zero",0.12,0,"small",0.24,0,2,500,1000,"error_rates"
"Zero",0.13,0,"small",0.264,0,2,500,1000,"error_rates"
"Zero",0.14,0,"small",0.285,0,2,500,1000,"error_rates"
"Zero",0.15,0,"small",0.292,0,2,500,1000,"error_rates"
"Zero",0.16,0,"small",0.306,0,2,500,1000,"error_rates"
"Zero",0.17,0,"small",0.332,0,2,500,1000,"error_rates"
"Zero",0.18,0,"small",0.347,0,2,500,1000,"error_rates"
"Zero",0.19,0,"small",0.362,0,2,500,1000,"error_rates"
"Zero",0.2,0,"small",0.374,0,2,500,1000,"error_rates"
"Zero",0.25,0,"small",0.459,0,2,500,1000,"error_rates"
"Zero",0.3,0,"small",0.515,0,2,500,1000,"error_rates"
"Zero",0.35,0,"small",0.577,0,2,500,1000,"error_rates"
"Zero",0.4,0,"small",0.623,0,2,500,1000,"error_rates"
"Zero",0.45,0,"small",0.662,0,2,500,1000,"error_rates"
"Zero",0.5,0,"small",0.676,0,2,500,1000,"error_rates"
"Mother",0,0,"small",0.051,0,2,500,1000,"error_rates"
"Mother",0.01,0,"small",0.059,0,2,500,1000,"error_rates"
"Mother",0.02,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"small",0.066,0,2,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.03,0,"small",0.067,0,2,500,1000,"error_rates"
"Mother",0.04,0,"small",0.075,0,2,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"small",0.074,0,2,500,1000,"error_rates"
"Mother",0.05,0,"small",0.082,0,2,500,1000,"error_rates"
"Mother",0.06,0,"small",0.085,0,2,500,1000,"error_rates"
"Mother",0.07,0,"small",0.095,0,2,500,1000,"error_rates"
"Mother",0.08,0,"small",0.103,0,2,500,1000,"error_rates"
"Mother",0.09,0,"small",0.109,0,2,500,1000,"error_rates"
"Mother",0.1,0,"small",0.117,0,2,500,1000,"error_rates"
"Mother",0.11,0,"small",0.124,0,2,500,1000,"error_rates"
"Mother",0.12,0,"small",0.132,0,2,500,1000,"error_rates"
"Mother",0.13,0,"small",0.143,0,2,500,1000,"error_rates"
"Mother",0.14,0,"small",0.15,0,2,500,1000,"error_rates"
"Mother",0.15,0,"small",0.157,0,2,500,1000,"error_rates"
"Mother",0.16,0,"small",0.163,0,2,500,1000,"error_rates"
"Mother",0.17,0,"small",0.164,0,2,500,1000,"error_rates"
"Mother",0.18,0,"small",0.169,0,2,500,1000,"error_rates"
"Mother",0.19,0,"small",0.177,0,2,500,1000,"error_rates"
"Mother",0.2,0,"small",0.185,0,2,500,1000,"error_rates"
"Mother",0.25,0,"small",0.216,0,2,500,1000,"error_rates"
"Mother",0.3,0,"small",0.248,0,2,500,1000,"error_rates"
"Mother",0.35,0,"small",0.271,0,2,500,1000,"error_rates"
"Mother",0.4,0,"small",0.307,0,2,500,1000,"error_rates"
"Mother",0.45,0,"small",0.333,0,2,500,1000,"error_rates"
"Mother",0.5,0,"small",0.363,0,2,500,1000,"error_rates"
"Zero",0,0,"fixed",0.053,0,3,500,1000,"error_rates"
"Zero",0.01,0,"fixed",0.054,0,3,500,1000,"error_rates"
"Zero",0.02,0,"fixed",0.054,0,3,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"fixed",0.054,0,3,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"fixed",0.057,0,3,500,1000,"error_rates"
"Zero",0.03,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Zero",0.04,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.05,0,"fixed",0.051,0,3,500,1000,"error_rates"
"Zero",0.06,0,"fixed",0.053,0,3,500,1000,"error_rates"
"Zero",0.07,0,"fixed",0.047,0,3,500,1000,"error_rates"
"Zero",0.08,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.09,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Zero",0.1,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.11,0,"fixed",0.048,0,3,500,1000,"error_rates"
"Zero",0.12,0,"fixed",0.053,0,3,500,1000,"error_rates"
"Zero",0.13,0,"fixed",0.051,0,3,500,1000,"error_rates"
"Zero",0.14,0,"fixed",0.048,0,3,500,1000,"error_rates"
"Zero",0.15,0,"fixed",0.05,0,3,500,1000,"error_rates"
"Zero",0.16,0,"fixed",0.057,0,3,500,1000,"error_rates"
"Zero",0.17,0,"fixed",0.053,0,3,500,1000,"error_rates"
"Zero",0.18,0,"fixed",0.046,0,3,500,1000,"error_rates"
"Zero",0.19,0,"fixed",0.047,0,3,500,1000,"error_rates"
"Zero",0.2,0,"fixed",0.048,0,3,500,1000,"error_rates"
"Zero",0.25,0,"fixed",0.045,0,3,500,1000,"error_rates"
"Zero",0.3,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.35,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.4,0,"fixed",0.048,0,3,500,1000,"error_rates"
"Zero",0.45,0,"fixed",0.047,0,3,500,1000,"error_rates"
"Zero",0.5,0,"fixed",0.055,0,3,500,1000,"error_rates"
"Mother",0,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Mother",0.01,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Mother",0.02,0,"fixed",0.055,0,3,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.03,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.04,0,"fixed",0.057,0,3,500,1000,"error_rates"
